Rank,Name,Position,Team,ByeWeek,ProjectedPoints,Age,SuspendedGames,PlayerId
1,LeVeon Bell,RB,PIT,11,241.0428,22,2,2540175
2,Jamaal Charles,RB,KC,9,236.4963,28,0,925
3,Adrian Peterson,RB,MIN,5,233.0095,30,0,2507164
4,Eddie Lacy,RB,GB,7,231.1446,24,0,2540168
5,Antonio Brown,WR,PIT,11,224.2935,26,0,2508061
6,Marshawn Lynch,RB,SEA,9,228.1435,29,0,2495663
7,Demaryius Thomas,WR,DEN,7,214.5042,27,0,497328
8,Odell Beckham,WR,NYG,11,211.9978,22,0,2543496
9,Dez Bryant,WR,DAL,6,210.987,26,0,497278
10,Matt Forte,RB,CHI,7,214.2218,29,0,234
11,C.J. Anderson,RB,DEN,7,212.4048,24,0,2540269
12,Julio Jones,WR,ATL,10,203.6272,26,0,2495454
13,DeMarco Murray,RB,PHI,8,207.8207,27,0,2495207
14,Jordy Nelson,WR,GB,7,200.748,30,0,1032
15,Andrew Luck,QB,IND,10,360.0487,25,0,2533031
16,Rob Gronkowski,TE,NE,4,180.3157,26,0,497240
17,Calvin Johnson,WR,DET,9,199.9405,29,0,2495647
18,LeSean McCoy,RB,BUF,8,203.5414,26,0,79607
19,Jeremy Hill,RB,CIN,7,199.8187,22,0,2543603
20,Aaron Rodgers,QB,GB,7,347.0508,31,0,2506363
21,A.J. Green,WR,CIN,7,183.4499,26,0,2495450
22,Randall Cobb,WR,GB,7,181.5408,24,0,2495448
23,Justin Forsett,RB,BAL,9,184.9206,29,0,927
24,Alshon Jeffery,WR,CHI,7,177.9816,25,0,2533039
25,Mike Evans,WR,TB,6,173.7324,21,0,2543468
26,T.Y. Hilton,WR,IND,10,172.5874,25,0,2532865
27,Alfred Morris,RB,WAS,8,175.3521,26,0,2533457
28,Lamar Miller,RB,MIA,5,175.3463,24,0,2533034
29,Mark Ingram,RB,NO,11,172.0215,25,0,2495466
30,Frank Gore,RB,IND,10,170.4201,32,0,2506404
31,Melvin Gordon,RB,SD,10,170.0195,22,0,2552469
32,Carlos Hyde,RB,SF,10,169.1548,23,0,2543743
33,Emmanuel Sanders,WR,DEN,7,162.6503,28,0,497322
34,DeAndre Hopkins,WR,HOU,9,161.6232,23,0,2540165
35,Russell Wilson,QB,SEA,9,321.5749,26,0,2532975
36,Jimmy Graham,TE,SEA,9,141.5394,28,0,497236
37,Kelvin Benjamin,WR,CAR,5,155.403,24,0,2543471
38,Jordan Matthews,WR,PHI,8,155.2578,22,0,2543500
39,Brandin Cooks,WR,NO,11,155.0824,21,0,2543498
40,Andre Ellington,RB,ARI,9,160.6808,26,0,2539217
41,Latavius Murray,RB,OAK,6,156.9599,24,0,2541161
42,DeSean Jackson,WR,WAS,8,148.8906,28,0,1581
43,Peyton Manning,QB,DEN,7,308.4267,39,0,2501863
44,Joseph Randle,RB,DAL,6,152.4358,23,0,2540171
45,Jonathan Stewart,RB,CAR,5,151.8891,28,0,949
46,Todd Gurley,RB,STL,6,151.321,20,0,2552475
47,T.J. Yeldon,RB,JAC,8,150.7348,21,0,2552471
48,Greg Olsen,TE,CAR,5,123.987,30,0,2495700
49,Drew Brees,QB,NO,11,303.6579,36,0,2504775
50,Cam Newton,QB,CAR,5,303.5004,26,0,2495455
51,Golden Tate,WR,DET,9,143.0342,26,0,497326
52,Travis Kelce,TE,KC,9,123.1842,25,0,2540258
53,Keenan Allen,WR,SD,10,142.0104,23,0,2540154
54,Sammy Watkins,WR,BUF,8,141.2578,22,0,2543457
55,Ben Roethlisberger,QB,PIT,11,299.6876,33,0,2506109
56,Matt Ryan,QB,ATL,10,299.6131,30,0,310
57,Julian Edelman,WR,NE,4,139.2675,29,0,238498
58,Joique Bell,RB,DET,9,145.2292,28,0,497145
59,Brandon Marshall,WR,NYJ,5,138.2392,31,0,2495893
60,Andre Johnson,WR,IND,10,135.8578,33,0,2505551
61,LeGarrette Blount,RB,NE,4,142.1514,28,1,497149
62,Jeremy Maclin,WR,KC,9,133.3705,27,0,80429
63,Vincent Jackson,WR,TB,6,132.5736,32,0,2506400
64,Martellus Bennett,TE,CHI,7,111.9994,28,0,1062
65,Amari Cooper,WR,OAK,6,131.5322,21,0,2552487
66,Brandon LaFell,WR,NE,4,130.1104,28,0,497302
67,Martavis Bryant,WR,PIT,11,129.2342,23,0,2543572
68,Jarvis Landry,WR,MIA,5,128.0466,22,0,2543488
69,C.J. Spiller,RB,NO,11,134.0126,27,0,497204
70,Ryan Tannehill,QB,MIA,5,287.4323,26,0,2532956
71,Torrey Smith,WR,SF,10,127.409,26,0,2495459
72,Rashad Jennings,RB,NYG,11,133.3728,30,0,71345
73,Roddy White,WR,ATL,10,125.7854,33,0,2506366
74,Giovani Bernard,RB,CIN,7,131.9878,23,0,2540156
75,Tony Romo,QB,DAL,6,285.4675,35,0,2505354
76,Michael Floyd,WR,ARI,9,125.4043,25,0,2532841
77,Mike Wallace,WR,MIN,5,124.8295,28,0,2507763
78,Chris Ivory,RB,NYJ,5,130.8057,27,0,2507999
79,Zach Ertz,TE,PHI,8,104.1368,24,0,2540158
80,Anquan Boldin,WR,SF,10,123.6552,34,0,2505587
81,Allen Robinson,WR,JAC,8,123.4685,21,0,2543509
82,Jason Witten,TE,DAL,6,103.3644,33,0,2505629
83,Eric Decker,WR,NYJ,5,122.6503,28,0,497284
84,Arian Foster,RB,HOU,9,128.4834,28,0,79555
85,Nelson Agholor,WR,PHI,8,121.9236,22,0,2552600
86,Matthew Stafford,QB,DET,9,281.8372,27,0,79860
87,Isaiah Crowell,RB,CLE,11,128.2535,22,0,2550189
88,Julius Thomas,TE,JAC,8,101.3859,27,0,2495353
89,Larry Fitzgerald,WR,ARI,9,120.97,31,0,2506106
90,Eli Manning,QB,NYG,11,280.7394,34,0,2505996
91,Delanie Walker,TE,TEN,4,99.5565,30,0,2495966
92,Marques Colston,WR,NO,11,119.0439,32,0,2495821
93,Philip Rivers,QB,SD,10,279.0241,33,0,2506121
94,Charles Johnson,WR,MIN,5,118.1333,26,0,2541147
95,Buffalo Bills,DEF,BUF,8,143.1913,-1,0,100003
96,Steve Smith,WR,BAL,9,115.9105,36,0,2504595
97,Tevin Coleman,RB,ATL,10,121.8074,22,0,2552453
98,Dwayne Allen,TE,IND,10,95.3354,25,0,2533046
99,Jordan Cameron,TE,MIA,5,94.7659,26,0,2495267
100,Ameer Abdullah,RB,DET,9,120.4013,22,0,2552374
101,Colin Kaepernick,QB,SF,10,272.9761,27,0,2495186
102,Kendall Wright,WR,TEN,4,111.5767,25,0,2532977
103,John Brown,WR,ARI,9,111.4015,25,0,2543847
104,Seattle Seahawks,DEF,SEA,9,137.8088,-1,0,100030
105,Pierre Garcon,WR,WAS,8,110.8043,28,0,2346
106,Houston Texans,DEF,HOU,9,136.8887,-1,0,100013
107,Terrance Williams,WR,DAL,6,108.7753,25,0,2539205
108,Breshad Perriman,WR,BAL,9,108.5124,21,0,2552597
109,Devonta Freeman,RB,ATL,10,114.9036,23,0,2543583
110,Coby Fleener,TE,IND,10,88.5913,26,0,2532838
111,Antonio Gates,TE,SD,10,87.5949,35,4,2505299
112,Doug Martin,RB,TB,6,112.9437,26,0,2532899
113,Kevin White,WR,CHI,7,105.6677,22,0,2553432
114,Josh Hill,TE,NO,11,85.8035,25,0,2541834
115,Charles Clay,RB,BUF,8,84.9981,26,0,2495139
116,Stephen Gostkowski,K,NE,4,154.6963,31,0,2506922
117,Owen Daniels,TE,DEN,7,84.9137,32,0,2495825
118,Joe Flacco,QB,BAL,9,263.4094,30,0,382
119,Heath Miller,TE,PIT,11,83.474,32,0,2506369
120,Kenny Stills,WR,MIA,5,103.0765,23,0,2540202
121,Victor Cruz,WR,NYG,11,102.8154,28,0,2507855
122,Shane Vereen,RB,NYG,11,109.2168,26,0,2495473
123,Doug Baldwin,WR,SEA,9,102.5737,26,0,2530747
124,Rueben Randle,WR,NYG,11,102.0076,24,0,2533533
125,Tyler Eifert,TE,CIN,7,82.1218,24,0,2540148
126,Brian Quick,WR,STL,6,101.7579,26,0,2532933
127,Malcom Floyd,WR,SD,10,101.7386,33,0,2505785
128,Teddy Bridgewater,QB,MIN,5,261.7136,22,0,2543465
129,Kyle Rudolph,TE,MIN,5,80.9849,25,0,2495438
130,Larry Donnell,TE,NYG,11,80.8314,26,0,2537933
131,Bishop Sankey,RB,TEN,4,106.7825,22,0,2543682
132,Jay Cutler,QB,CHI,7,259.328,32,0,2495824
133,Justin Tucker,K,BAL,9,148.3007,25,0,2536340
134,Jared Cook,TE,STL,6,78.2624,28,0,71265
135,Mason Crosby,K,GB,7,147.945,30,0,2507232
136,Percy Harvin,WR,BUF,8,97.138,27,0,80425
137,Adam Vinatieri,K,IND,10,147.053,42,0,2503471
138,Vernon Davis,TE,SF,10,77.2823,31,0,2495826
139,Cody Parkey,K,PHI,8,146.7886,23,0,2550380
140,Austin Seferian-Jenkins,TE,TB,6,76.9858,22,0,2543683
141,Philadelphia Eagles,DEF,PHI,8,122.7228,-1,0,100025
142,Dwayne Bowe,WR,CLE,11,96.08,30,0,2495558
